[Thu Jul 30 11:48:24.362050 2020] [mpm_winnt:notice] [pid 3444:tid 848] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu Jul 30 11:48:24.363011 2020] [mpm_winnt:notice] [pid 3444:tid 848] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu Jul 30 11:48:24.363011 2020] [core:notice] [pid 3444:tid 848] AH00094: Command line: 'C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool/apache2/bin/httpd_usbwv8.exe -d C:/Users/warri/Desktop/Sandia TCO Web Tool/TCO-Web-Tool/webtool/apache2'
[Thu Jul 30 11:48:24.367995 2020] [mpm_winnt:notice] [pid 3444:tid 848] AH00418: Parent: Created child process 8764
[Thu Jul 30 11:48:25.566956 2020] [mpm_winnt:notice] [pid 8764:tid 212] AH00354: Child: Starting 64 worker threads.
[Thu Jul 30 14:08:50.695260 2020] [:error] [pid 8764:tid 1340] [client ::1:56225] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 14:08:50.699215 2020] [:error] [pid 8764:tid 1340] [client ::1:56225] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 14:34:44.337922 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(fuelPriceCalculations.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 438
[Thu Jul 30 14:34:44.337922 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'fuelPriceCalculations.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 438
[Thu Jul 30 14:34:44.339916 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(maintenancePriceCalculations.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 439
[Thu Jul 30 14:34:44.339916 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'maintenancePriceCalculations.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 439
[Thu Jul 30 14:34:44.340914 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(vehicleCalculations.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 440
[Thu Jul 30 14:34:44.340914 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'vehicleCalculations.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 440
[Thu Jul 30 14:34:44.340914 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(insuranceCalculations.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 441
[Thu Jul 30 14:34:44.340914 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'insuranceCalculations.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 441
[Thu Jul 30 14:34:44.341911 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(taxesAndFeesCalculations.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 442
[Thu Jul 30 14:34:44.341911 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'taxesAndFeesCalculations.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 442
[Thu Jul 30 14:34:44.342908 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(financeCalculations.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 443
[Thu Jul 30 14:34:44.342908 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'financeCalculations.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 443
[Thu Jul 30 14:34:44.343905 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(getID.php): failed to open stream: No such file or directory in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 444
[Thu Jul 30 14:34:44.343905 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Warning:  include(): Failed opening 'getID.php' for inclusion (include_path='.;C:\\php\\pear') in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 444
[Thu Jul 30 14:34:44.343905 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Notice:  Undefined index: analysisWindow in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 446
[Thu Jul 30 14:34:44.343905 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Notice:  Undefined index: discountRate in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 447
[Thu Jul 30 14:34:44.343905 2020] [:error] [pid 8764:tid 1356] [client ::1:49250] PHP Fatal error:  Call to undefined function calculateDepreciation() in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\index.php on line 449
